acct_id,agent_id,div_code,division,curr_meter_read_remark,prev_meter_read_remark,prev_bill_basis
5807756000,PUFGL00543,DIV475934,IDF ,IDF,ASS,
5808818596,PUFGL00887,DIV475611,RDF ,OK,MU,
5810365000,PUFGL00758,DIV475812,RDF ,OK,MU,
5810418000,PUFGL00982,DIV475612,RDF ,OK,MU,
5811107000,FGLTD01808,DIV475934,IDF ,IDF,ASS,
5811467000,FGLTD01582,DIV475613,RDF ,OK,MU,
5811847000,PUFGL00257,DIV435733,IDF ,IDF,ASS,
5812027000,FGLTD03057,DIV475813,RDF ,RDF,ASS,
5812597000,FGLTD02471,DIV475814,IDF ,IDF,ASS,
5813296000,PUFGL01100,DIV475614,RDF ,P,PROV,
5813316000,PUFGL00637,DIV475935,RDF ,OK,MU,
5815997000,PUFGL00572,DIV475934,RDF,RDF,ASS,
5816714682,FGLTD02424,DIV475934,RDF ,OK,MU,
5816928055,FGLTD02305,DIV475814,IDF ,IDF,ASS,
5816983796,PUFGL00164,DIV435731,RDF ,RDF,ASS,
5817896000,PUFGL00593,DIV475934,RDF ,OK,MU,
5818827000,FGLTD02755,DIV475811,IDF ,IDF,ASS,
5821496000,PUFGL01124,DIV475614,RDF ,OK,MU,
5822085000,FGLTD03120,DIV475813,RDF ,OK,MU,
5822237713,FGLTD01671,DIV475814,IDF ,IDF,ASS,
5824477000,PUFGL00777,DIV475812,RDF ,OK,MU,
5824543295,PUFGL00802,DIV475813,RDF ,OK,MU,
5826227000,FGLTD02929,DIV475814,IDF ,IDF,ASS,
5828067000,PUFGL00884,DIV475611,RDF,RDF,ASS,
5828816000,FGLTD03099,DIV475932,RDF ,OK,MU,
5830217000,FGLTD03122,DIV475813,RDF ,RDF,ASS,
5830227000,FGLTD01660,DIV475814,IDF ,IDF,ASS,
5830246000,PUFGL00246,DIV435733,RDF ,OK,MU,
5830275000,FGLTD02305,DIV475814,IDF ,IDF,ASS,
5830865000,FGLTD02471,DIV475814,IDF ,IDF,ASS,
5831707000,PUFGL00764,DIV475812,IDF ,IDF,ASS,
5831955000,PUFGL00848,DIV475814,RDF ,P,PROV,
5832147000,PUFGL01113,DIV475614,RDF ,OK,MU,
5833297000,FGLTD03001,DIV475613,RDF,RDF,ASS,
5833866000,PUFGL00264,DIV435733,RDF ,OK,MU,
5833946000,FGLTD02929,DIV475814,IDF ,IDF,ASS,
5834776000,PUFGL01113,DIV475614,RDF ,OK,MU,
5835258531,FGLTD03351,DIV475932,RDF ,OK,MU,
5835567000,PUFGL01125,DIV475614,RDF ,OK,MU,
5836096000,PUFGL00744,DIV475812,RDF,RDF,ASS,
5836227000,PUFGL00845,DIV475814,IDF ,IDF,ASS,
5836518000,PUFGL00971,DIV475612,RDF,RDF,ASS,
5837757243,PUFGL00108,DIV435732,RDF ,OK,CEIL,
5838067000,PUFGL00875,DIV475611,RDF ,OK,MU,
5839237000,PUFGL00920,DIV475612,RDF ,RDF,ASS,
5839629307,PUFGL00146,DIV435732,RDF ,RDF,ASS,
5840218000,FGLTD02305,DIV475814,IDF ,IDF,ASS,
5840446000,PUFGL00607,DIV475934,RDF ,RDF,ASS,
5840789700,PUFGL01144,DIV475614,RDF ,RDF,ASS,
5841911787,FGLTD03096,DIV435732,RDF ,OK,CEIL,
5842817000,PUFGL01046,DIV475613,RDF ,RDF,ASS,
5843657274,PUFGL00327,DIV435721,RDF ,RDF,ASS,
5843824211,FGLTD01815,DIV435711,RDF ,RDF,ASS,
5844787000,PUFGL00849,DIV475814,IDF ,IDF,ASS,
5845197000,PUFGL00811,DIV475813,RDF ,RDF,ASS,
5845236000,PUFGL00843,DIV475814,IDF ,IDF,ASS,
5848482963,FGLTD02667,DIV475813,RDF ,RDF,ASS,
5849357681,FGLTD03294,DIV475814,IDF ,IDF,ASS,
5849496000,PUFGL00687,DIV475811,IDF ,IDF,ASS,
5849585000,PUFGL00932,DIV475612,RDF,RDF,ASS,
5849827000,FGLTD02658,DIV435731,RDF ,OK,MU,
5850408000,PUFGL00596,DIV475934,RDF,RDF,ASS,
5850585000,PUFGL00728,DIV475812,RDF ,RDF,ASS,
5851477000,FGLTD02947,DIV475812,IDF ,IDF,ASS,
5852856000,PUFGL00257,DIV435733,IDF ,IDF,ASS,
5853046000,FGLTD03120,DIV475813,RDF,RDF,ASS,
5853076000,PUFGL01054,DIV475613,RDF ,RDF,ASS,
5853976000,FGLTD01188,DIV475813,RDF ,OK,MU,
5854326000,PUFGL00552,DIV475934,IDF ,IDF,ASS,
5855226000,PUFGL00648,DIV475935,RDF ,RDF,ASS,
5855846000,FGLTD02929,DIV475814,IDF ,IDF,ASS,
5856257000,FGLTD03128,DIV475813,RDF ,RDF,ASS,
5856265000,PUFGL00530,DIV475934,RDF ,RDF,ASS,
5858518000,FGLTD02471,DIV475814,IDF ,IDF,ASS,
5859097936,PUFGL01039,DIV475613,RDF,RDF,ASS,
5861376000,FGLTD03116,DIV475814,RDF,OK,MU,
5863209084,FGLTD02587,DIV475611,RDF ,RDF,ASS,
5864308000,FGLTD02305,DIV475814,IDF ,IDF,ASS,
5864537000,PUFGL00204,DIV435731,IDF ,IDF,ASS,
5864787000,FGLTD02471,DIV475814,IDF ,IDF,ASS,
5864996000,PUFGL00759,DIV475812,RDF ,OK,MU,
5865886000,PUFGL00573,DIV475934,RDF ,RDF,ASS,
5866097000,PUFGL00756,DIV475812,RDF ,OK,MU,
5866308000,FGLTD01661,DIV475814,IDF,IDF,ASS,
5867887000,PUFGL00257,DIV435733,IDF ,IDF,ASS,
5868138648,FGLTD03122,DIV475813,IDF ,IDF,ASS,
5869476000,FGLTD02296,DIV475812,RDF ,RDF,ASS,
5869786000,FGLTD03012,DIV475811,RDF,P,PROV,
5870928552,PUFGL00883,DIV475611,RDF ,OK,MU,
5872266000,PUFGL01060,DIV475613,RDF ,RDF,ASS,
