div_code,agent_id,latitude,longitude,total_bills
DIV435731,FGLTD03150,26.7341691,83.4956962,16
DIV435731,FGLTD03150,26.7341705,83.4956906,16
DIV435731,FGLTD03150,26.7341692,83.4956979,14
DIV435731,FGLTD03150,26.7341691,83.4956954,14
DIV435731,FGLTD03150,26.7341706,83.495691,14
DIV435731,FGLTD03150,26.7341697,83.4956937,11
DIV435731,FGLTD03150,26.7341704,83.4956919,11
DIV435731,FGLTD03150,26.7341691,83.4956971,10
DIV435731,FGLTD03150,26.7341701,83.4956928,10
DIV435731,FGLTD03420,26.9423627,83.5105231,60
DIV435731,PUFGL00083,26.7728714,83.2788404,13
DIV435731,PUFGL00163,26.8276154,83.5321413,11
DIV435731,PUFGL00172,26.74353,83.5468283,12
DIV435731,PUFGL00172,26.746619,83.4969341,10
DIV435731,PUFGL00186,26.7903906,83.7708323,13
DIV435731,PUFGL00186,26.7903895,83.7708323,12
DIV435731,PUFGL00224,26.819275,83.5086617,42
DIV435732,FGLTD02008,26.74509,83.3732617,10
DIV435732,FGLTD02314,26.6392977,83.6211317,281
DIV435732,FGLTD02314,26.7289557,83.3859764,100
DIV435732,FGLTD02314,26.6389296,83.6210423,60
DIV435732,FGLTD02314,26.6341909,83.5507706,58
DIV435732,FGLTD02314,26.6387792,83.6211746,49
DIV435732,FGLTD02314,26.6390461,83.6211078,41
DIV435732,FGLTD02314,26.6366067,83.6212867,38
DIV435732,FGLTD02314,26.6382117,83.6226083,36
DIV435732,FGLTD02314,26.639367,83.6210546,26
DIV435732,FGLTD02314,26.6223831,83.6078366,24
DIV435732,FGLTD02314,26.6496869,83.5696521,23
DIV435732,FGLTD02314,26.650873,83.5844466,15
DIV435732,FGLTD02314,26.638965,83.6193467,15
DIV435732,FGLTD02314,26.6377317,83.61913,13
DIV435732,FGLTD02314,26.6392117,83.6209345,10
DIV435732,FGLTD02314,26.6381017,83.6206017,10
DIV435732,FGLTD02426,26.6724139,83.5449194,34
DIV435732,FGLTD02426,26.6724138,83.5449194,16
DIV435732,FGLTD02426,26.6724132,83.544919,15
DIV435732,FGLTD02426,26.6724136,83.5449187,15
DIV435732,FGLTD02426,26.6724138,83.5449192,14
DIV435732,FGLTD02426,26.6724138,83.5449193,14
DIV435732,FGLTD02426,26.6724128,83.5449199,10
DIV435732,FGLTD02544,26.7226239,83.504477,17
DIV435732,FGLTD02544,26.7226236,83.5044769,14
DIV435732,FGLTD02544,26.7226231,83.5044767,11
DIV435732,FGLTD02544,26.7226246,83.5044773,10
DIV435732,FGLTD02702,26.6392977,83.6211317,402
DIV435732,FGLTD02702,20.0441265,79.6090634,171
DIV435732,FGLTD02702,26.639935,83.62199,61
DIV435732,FGLTD02702,26.6341909,83.5507706,59
DIV435732,FGLTD02702,26.6391305,83.6212551,52
DIV435732,FGLTD02702,26.63731,83.622145,42
DIV435732,FGLTD02702,26.6393766,83.6213899,36
DIV435732,FGLTD02702,26.6388515,83.6209454,20
DIV435732,FGLTD02702,26.639233,83.6210709,19
DIV435732,FGLTD02744,26.596724,83.6179181,34
DIV435732,FGLTD02744,26.596724,83.6179182,33
DIV435732,FGLTD02744,26.5967237,83.617918,22
DIV435732,FGLTD02744,26.5967222,83.6179173,20
DIV435732,FGLTD02744,26.596723,83.6179179,20
DIV435732,FGLTD02744,26.5967225,83.6179177,18
DIV435732,FGLTD02744,26.5967233,83.6179179,15
DIV435732,FGLTD02744,26.5967224,83.6179175,14
DIV435732,FGLTD02744,26.5967223,83.6179174,12
DIV435732,FGLTD02744,26.5967227,83.6179178,11
DIV435732,FGLTD02744,26.5967222,83.6179174,10
DIV435732,FGLTD02870,26.778006,83.3579674,30
DIV435732,FGLTD02870,26.7172915,83.4993043,12
DIV435732,FGLTD02986,26.6378617,83.5957333,16
DIV435732,FGLTD02986,26.63818,83.595617,16
DIV435732,FGLTD02986,26.6378317,83.5959433,12
DIV435732,FGLTD03096,26.6381836,83.6201715,25
DIV435732,FGLTD03096,26.6380346,83.6194677,11
DIV435732,PUFGL00105,26.6580655,83.4642741,19
DIV435732,PUFGL00105,26.6580659,83.4642743,18
DIV435732,PUFGL00105,26.6580657,83.4642742,16
DIV435732,PUFGL00105,26.6580653,83.4642738,13
DIV435732,PUFGL00105,26.6580662,83.4642744,12
DIV435732,PUFGL00105,26.6580654,83.4642739,11
DIV435732,PUFGL00105,26.6580665,83.4642745,10
DIV435732,PUFGL00110,26.6646784,83.5398103,11
DIV435732,PUFGL00118,26.6077729,83.4502336,16
DIV435733,FGLTD02738,26.8704933,83.2596118,17
DIV435733,FGLTD02738,26.8704937,83.2596109,16
DIV435733,FGLTD02738,26.870494,83.25961,16
DIV435733,FGLTD02738,26.8704944,83.2596091,15
DIV435733,FGLTD02738,26.8704946,83.2596082,14
DIV435733,FGLTD02738,26.8704947,83.2596076,13
DIV435733,FGLTD02738,26.8704975,83.2596147,12
DIV435733,FGLTD02738,26.8704943,83.2596072,12
DIV435733,FGLTD02738,26.8704933,83.2596151,10
DIV435733,FGLTD02784,27.0009317,83.3098417,11
DIV435733,FGLTD02908,26.9259988,83.2978878,54
DIV435733,FGLTD02908,26.9243098,83.2983912,36
DIV435733,FGLTD02908,26.9592914,83.2808991,26
DIV435733,FGLTD02998,27.0660306,83.321387,13
DIV435733,FGLTD02998,27.066031,83.321387,11
DIV435733,PUFGL00228,27.0025938,83.3032866,20
DIV435733,PUFGL00244,27.0871407,83.3693347,13
DIV435733,PUFGL00249,26.8940607,83.3175462,10
